"game_id","year","week","home","away"
401110783,2019,2,"Tennessee","BYU"
401110817,2019,7,"Georgia","South Carolina"
401112078,2019,7,"Baylor","Texas Tech"
401112081,2019,11,"TCU","Baylor"
401112085,2019,1,"Iowa State","Northern Iowa"
401112168,2019,14,"Purdue","Indiana"
401112223,2019,2,"Michigan","Army"
401112230,2019,2,"Fresno State","Minnesota"
401112239,2019,2,"Colorado","Nebraska"
401112440,2019,2,"Florida State","Louisiana Monroe"
401112452,2019,3,"Georgia Tech","The Citadel"
401112488,2019,8,"Miami","Georgia Tech"
401112489,2019,8,"Virginia Tech","North Carolina"
401112507,2019,12,"Pittsburgh","North Carolina"
401112525,2019,14,"Syracuse","Wake Forest"
401114185,2019,3,"Colorado","Air Force"
401114219,2019,3,"BYU","USC"
401114268,2019,5,"Rice","Louisiana Tech"
401114321,2019,14,"Marshall","Florida International"
401117541,2019,11,"Boise State","Wyoming"
401117558,2019,14,"Nevada","UNLV"
401117878,2019,6,"SMU","Tulsa"
401119261,2019,2,"Kent State","Kennesaw State"
401119274,2019,6,"Buffalo","Ohio"
401119290,2019,9,"Toledo","Eastern Michigan"
401119300,2019,12,"Ohio","Western Michigan"
401121948,2019,6,"South Alabama","Georgia Southern"
401121956,2019,8,"Georgia Southern","Coastal Carolina"
401132974,2019,15,"Oklahoma","Baylor"
401012306,2018,6,"Texas A&M","Kentucky"
401012348,2018,12,"Vanderbilt","Ole Miss"
401012356,2018,13,"Texas A&M","LSU"
401012749,2018,4,"Oregon","Stanford"
401012766,2018,7,"Oregon","Washington"
401012777,2018,9,"Colorado","Oregon State"
401012878,2018,12,"Maryland","Ohio State"
401013048,2018,1,"Kansas","Nicholls"
401013066,2018,4,"Oklahoma","Army"
401013086,2018,1,"Tulane","Wake Forest"
401013142,2018,6,"Pittsburgh","Syracuse"
401013152,2018,8,"Syracuse","North Carolina"
401013174,2018,11,"Virginia","Liberty"
401013177,2018,12,"Georgia Tech","Virginia"
401013183,2018,13,"Virginia Tech","Virginia"
401013187,2018,13,"North Carolina","NC State"
401013340,2018,7,"Northwestern","Nebraska"
401013349,2018,1,"Penn State","Appalachian State"
401013353,2018,12,"Purdue","Wisconsin"
401013365,2018,10,"UMass","Liberty"
401013371,2018,8,"Army","Miami (OH)"
401019495,2018,4,"SMU","Navy"
401019510,2018,8,"Temple","Cincinnati"
401019514,2018,9,"SMU","Cincinnati"
401020683,2018,4,"San Diego State","Eastern Michigan"
401020688,2018,5,"Eastern Michigan","Northern Illinois"
401020761,2018,8,"Kent State","Akron"
401020780,2018,12,"Ball State","Western Michigan"
401022527,2018,5,"San José State","Hawai'i"
401022568,2018,13,"San Diego State","Hawai'i"
401032069,2018,1,"TCU","California"
401035252,2018,1,"Nevada","Arkansas State"
401056700,2018,14,"Boise State","Fresno State"
400933840,2017,1,"Georgia Tech","Tennessee"
400933864,2017,4,"Arkansas","Texas A&M"
400934499,2017,2,"Iowa State","Iowa"
400934511,2017,3,"USC","Texas"
400934524,2017,6,"Texas","Kansas State"
400934535,2017,8,"Texas","Oklahoma State"
400934543,2017,10,"Texas Tech","Kansas State"
400934568,2017,8,"Army","Temple"
400935267,2017,2,"Washington State","Boise State"
400935300,2017,8,"California","Arizona"
400935379,2017,7,"Indiana","Michigan"
400935385,2017,8,"Northwestern","Iowa"
400935389,2017,9,"Northwestern","Michigan State"
400935400,2017,10,"Nebraska","Northwestern"
400937450,2017,1,"Pittsburgh","Youngstown State"
400938638,2017,8,"Charlotte","UAB"
400938640,2017,8,"Louisiana Tech","Southern Mississippi"
400938665,2017,12,"Western Kentucky","Middle Tennessee"
400938893,2017,9,"UMass","Appalachian State"
400941826,2017,8,"Cincinnati","SMU"
400941843,2017,11,"East Carolina","Tulane"
400944841,2017,4,"South Alabama","Idaho"
400944842,2017,4,"Louisiana","Louisiana Monroe"
400944890,2017,1,"Central Michigan","Rhode Island"
400944902,2017,4,"Eastern Michigan","Ohio"
400944993,2017,6,"Buffalo","Western Michigan"
400945004,2017,8,"Eastern Michigan","Western Michigan"
400945005,2017,9,"Northern Illinois","Eastern Michigan"
400945261,2017,4,"Wyoming","Hawai'i"
400945296,2017,11,"Colorado State","Boise State"
400953412,2017,1,"Oklahoma","Georgia"
400953415,2017,1,"Georgia","Alabama"
400955151,2017,14,"UCF","Memphis"
400966332,2017,1,"Utah State","New Mexico State"
400868913,2016,4,"Buffalo","Army"
400868928,2016,7,"BYU","Mississippi State"
400868946,2016,1,"Texas","Notre Dame"
400868977,2016,1,"Tennessee","Appalachian State"
400868978,2016,1,"Texas A&M","UCLA"
400868981,2016,2,"TCU","Arkansas"
400869009,2016,4,"Western Kentucky","Vanderbilt"
400869023,2016,6,"Texas A&M","Tennessee"
400869119,2016,4,"Arizona","Washington"
400869134,2016,6,"Oregon State","California"
400869140,2016,8,"California","Oregon"
